ros_time,msg_stamp,selected_mode,selected_wz,vesc_wz,livox_wz,livox_wz_raw,livox_bias_wz,vesc_weight,livox_weight,vesc_valid,livox_valid,fallback_used,vesc_header_stamp,livox_header_stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1786618071.1101375,1786618071.1098349,vesc,-0.00087284285493222644,-0.00087284285493222644,nan,nan,0.01,1,0,1,0,0,1786618071.1098349,nan,-0.00014836720104183631,-0.00028347165179561784,-0.00087284285493222644,-0.068184302413475173,0.035148455327675521,9.6918305251119818
1786618071.1302178,1786618071.1299012,vesc,0.0012825190840360147,0.0012825190840360147,nan,nan,0.01,1,0,1,0,0,1786618071.1299012,nan,0.0019570270479366309,-0.00028926402716654019,0.0012825190840360147,-0.10554693395050929,0.097638802849145279,9.6101238689757338
1786618071.1502459,1786618071.1498969,vesc,0.0023102251464678365,0.0023102251464678365,nan,nan,0.01,1,0,1,0,0,1786618071.1498969,nan,-0.0012510396877134374,-0.00029202601650019658,0.0023102251464678365,-0.081710740051105013,0.092822286657245456,9.6199705805556732
1786618071.1703203,1786618071.1699927,vesc,-0.00084785543391536762,-0.00084785543391536762,nan,nan,0.01,1,0,1,0,0,1786618071.1699927,nan,0.0019820149891021394,-0.00028353823082286983,-0.00084785543391536762,-0.090672183143394314,0.10733427253525463,9.5672099820235417
1786618071.190192,1786618071.1898868,vesc,0.0012239545071894911,0.0012239545071894911,nan,nan,0.01,1,0,1,0,0,1786618071.1898868,nan,-0.0023037368122026708,-0.0034849116936395124,0.0012239545071894911,-0.059054313322794094,0.07815538610291739,9.730376541784949
1786618071.210623,1786618071.2099302,vesc,0.00019234440404346486,0.00019234440404346486,nan,nan,0.01,1,0,1,0,0,1786618071.2099302,nan,-0.00016086117162459086,-0.00028633454996745305,0.00019234440404346486,-0.14234777594715364,0.12193773079703973,9.4804162480520517
1786618071.2308674,1786618071.2303994,vesc,-0.00085071859216152813,-0.00085071859216152813,nan,nan,0.01,1,0,1,0,0,1786618071.2303994,nan,0.0019820149891021394,-0.0013487985056653618,-0.00085071859216152813,-0.053758992374946857,0.049530961918542005,9.6872474772875421
1786618071.561837,1786618071.52985,vesc,0.0012546685047729958,0.0012546685047729958,nan,nan,0.01,1,0,1,0,0,1786618071.52985,nan,-0.00017335514220734541,-0.0013544577229817802,0.0012546685047729958,-0.072356035144268027,0.054450334292678093,9.6391389237275007
1786618071.5697217,1786618071.5694885,vesc,0.00019234440404346486,0.00019234440404346486,nan,nan,0.01,1,0,1,0,0,1786618071.5694885,nan,-0.00016086117162459086,-0.00028633454996745305,0.00019234440404346486,-0.063057509191470018,0.07354573344612092,9.6632516726665472
1786618071.5902739,1786618071.589886,vesc,0.00019234440404346486,0.00019234440404346486,nan,nan,0.01,1,0,1,0,0,1786618071.589886,nan,-0.00016086117162459086,-0.00028633454996745305,0.00019234440404346486,-0.1377827814018131,0.097935969324844052,9.4995670495761715
1786618071.6101937,1786618071.6098547,vesc,0.00019911170053170147,0.00019911170053170147,nan,nan,0.01,1,0,1,0,0,1786618071.6098547,nan,0.00090432992344739716,-0.0024168883891660629,0.00019911170053170147,-0.020680460613058393,0.092537125246696661,9.726074160323833
1786618071.6303258,1786618071.6298125,vesc,0.0012479011107568872,0.0012479011107568872,nan,nan,0.01,1,0,1,0,0,1786618071.6298125,nan,-0.0012385462372793334,0.00077609715651413066,0.0012479011107568872,-0.11901718349782531,0.08347518313108182,9.5332809270272492
1786618071.65009,1786618071.649802,vesc,-0.00087856930146170981,-0.00087856930146170981,nan,nan,0.01,1,0,1,0,0,1786618071.649802,nan,-0.00014836720104183631,-0.002413992201480602,-0.00087856930146170981,-0.10058867759062107,0.092887263843962842,9.5957981900144205
1786618071.6701496,1786618071.669806,vesc,0.00021733189007890484,0.00021733189007890484,nan,nan,0.01,1,0,1,0,0,1786618071.669806,nan,0.0019695210185193849,-0.00028640112899470504,0.00021733189007890484,-0.081654561097066036,0.073675066552866042,9.6151290857883396
1786618071.6900761,1786618071.6898293,vesc,0.00018948118077872315,0.00018948118077872315,nan,nan,0.01,1,0,1,0,0,1786618071.6898293,nan,-0.00016086117162459086,-0.001351594824809945,0.00018948118077872315,-0.11467692304119037,0.064211968881235038,9.5716035800527379
1786618071.7103775,1786618071.710027,vesc,0.0023352125674846952,0.0023352125674846952,nan,nan,0.01,1,0,1,0,0,1786618071.710027,nan,0.00087934250243053844,-0.0002920936358247494,0.0023352125674846952,-0.044011034789837034,0.059149303172386425,9.6730165232238505
1786618071.7302184,1786618071.7299128,vesc,-0.00089783040598624762,-0.00089783040598624762,nan,nan,0.01,1,0,1,0,0,1786618071.7299128,nan,-0.0022787488710371622,-0.00028340403247106507,-0.00089783040598624762,-0.1000268880502313,0.078645930972044198,9.5478615446019148
1786618071.7501769,1786618071.7498801,vesc,-0.0019380303089636616,-0.0019380303089636616,nan,nan,0.01,1,0,1,0,0,1786618071.7498801,nan,-0.00013587375060773214,-0.00028060875362378264,-0.0019380303089636616,-0.029417187889191787,0.054410317408844833,9.6540130715404757
1786618071.7701795,1786618071.7698412,vesc,0.00017022014127276652,0.00017022014127276652,nan,nan,0.01,1,0,1,0,0,1786618071.7698412,nan,-0.0022912438819172173,0.00077899334419959175,0.00017022014127276652,-0.068296660321553126,0.097393000510640704,9.701576664578397
1786618071.7901652,1786618071.7898636,vesc,0.00019234440404346486,0.00019234440404346486,nan,nan,0.01,1,0,1,0,0,1786618071.7898636,nan,-0.00016086117162459086,-0.00028633454996745305,0.00019234440404346486,-0.100026906322781,0.12175611992561564,9.5479784889199664
1786618071.810241,1786618071.8099496,vesc,0.00017412421449626149,0.00017412421449626149,nan,nan,0.01,1,0,1,0,0,1786618071.8099496,nan,-0.0012260522666965789,-0.0024168218101388111,0.00017412421449626149,-0.05843634482836535,0.044766833126619332,9.6775995710482903
1786618071.8301694,1786618071.8298941,vesc,0.00017022014127276652,0.00017022014127276652,nan,nan,0.01,1,0,1,0,0,1786618071.8298941,nan,-0.0022912438819172173,0.00077899334419959175,0.00017022014127276652,-0.043168350479252382,0.10724263569853143,9.6013004201787453
1786618071.8505685,1786618071.8502517,vesc,0.00019520762730820652,0.00019520762730820652,nan,nan,0.01,1,0,1,0,0,1786618071.8502517,nan,-0.00016086117162459086,0.00077892676517233987,0.00019520762730820652,-0.086781354319071191,0.054437908958885117,9.6437605631768974
1786618071.8703585,1786618071.8698478,vesc,-0.00087856930146170981,-0.00087856930146170981,nan,nan,0.01,1,0,1,0,0,1786618071.8698478,nan,-0.00014836720104183631,-0.002413992201480602,-0.00087856930146170981,-0.058380165874326373,0.083099901505434559,9.6729124427807847
1786618071.8901703,1786618071.8898692,vesc,0.0012546685047729958,0.0012546685047729958,nan,nan,0.01,1,0,1,0,0,1786618071.8898692,nan,-0.00017335514220734541,-0.0013544577229817802,0.0012546685047729958,-0.10915687714091238,0.09311928867999697,9.5094710638719562
1786618071.9101849,1786618071.9099333,vesc,0.00018661795751398149,0.00018661795751398149,nan,nan,0.01,1,0,1,0,0,1786618071.9099333,nan,-0.00016086117162459086,-0.0024168550996524372,0.00018661795751398149,-0.044853719100421685,0.054166196144912249,9.7448495705870073
1786618071.9303772,1786618071.9300232,vesc,0.0012296809537189744,0.0012296809537189744,nan,nan,0.01,1,0,1,0,0,1786618071.9300232,nan,-0.0023037368122026708,-0.0013543901036572276,0.0012296809537189744,-0.095405723687126631,0.13608742683223518,9.5624421621765805
