it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1564400,0.5379,0.5379,-8.2418,-7.1697,0.0114,0.0000,0.2343,0.0096,0.0349,0.7868,10.00,0.200,0.850,1.100,0.0338,0.0780,0.0037,0.00073,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00269
1564600,0.5379,0.5379,-8.2110,-7.2597,0.0109,0.0000,0.3521,0.0111,0.0075,0.5851,10.00,0.200,0.850,1.100,0.0251,0.0850,0.0039,0.00146,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00146
1564800,0.5379,0.5379,-8.2110,-7.2597,0.0068,0.0000,0.3352,0.0161,0.0260,0.7016,10.00,0.200,0.850,1.100,0.0064,0.0593,0.0066,0.00269,0.00073,0.00000,0.00073,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
1565000,0.5379,0.5379,-8.2110,-7.2597,0.0081,0.0000,0.2267,0.0141,0.0431,0.6660,10.00,0.200,0.850,1.100,0.0272,0.0871,0.0042,0.00146,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00146
1565200,0.5379,0.5379,-8.3043,-6.9814,0.0111,0.0000,0.2345,0.0108,0.0065,0.7630,10.00,0.200,0.850,1.100,0.0279,0.0738,0.0037,0.00122,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00049,0.00171
1565400,0.5379,0.5379,-8.3043,-6.9814,0.0096,0.0000,0.1598,0.0200,0.0179,0.7161,10.00,0.200,0.850,1.100,0.0229,0.0899,0.0034,0.00146,0.00073,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00024,0.00073
1565600,0.5379,0.5379,-8.3164,-7.1859,0.0094,0.0000,0.3428,0.0124,0.0159,0.8544,10.00,0.200,0.850,1.100,0.0292,0.0813,0.0034,0.00098,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00098,0.00098
1565800,0.5379,0.5379,-8.3164,-7.1859,0.0078,0.0000,0.2243,0.0165,0.0120,0.8751,10.00,0.200,0.850,1.100,0.0206,0.0879,0.0042,0.00171,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00122
1566000,0.5379,0.5379,-8.3164,-7.1859,0.0084,0.0000,0.1244,0.0128,0.0162,0.8206,10.00,0.200,0.850,1.100,0.0255,0.1201,0.0002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024
1566200,0.5379,0.5379,-8.2614,-7.2431,0.0096,0.0000,0.1976,0.0133,0.0103,0.8812,10.00,0.200,0.850,1.100,-0.0020,0.0808,0.0051,0.00244,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00122
1566400,0.5379,0.5379,-8.2614,-7.2431,0.0075,0.0000,0.2858,0.0224,0.0207,0.6950,10.00,0.200,0.850,1.100,0.0284,0.0525,0.0044,0.00073,0.00049,0.00000,0.00049,0.00000,0.00000,0.00024,0.00000,0.00049,0.00195
1566600,0.5379,0.5379,-8.2235,-7.1797,0.0081,0.0000,0.2535,0.0270,0.0297,0.7001,10.00,0.200,0.850,1.100,0.0260,0.0523,0.0046,0.00122,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00195
1566800,0.5379,0.5379,-8.2235,-7.1797,0.0092,0.0000,0.3554,0.0120,0.0110,0.6520,10.00,0.200,0.850,1.100,0.0283,0.0722,0.0044,0.00098,0.00049,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00098,0.00146
1567000,0.5379,0.5379,-8.2235,-7.1797,0.0107,0.0000,0.2584,0.0183,0.0178,0.6470,10.00,0.200,0.850,1.100,0.0236,0.0519,0.0049,0.00122,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00073,0.00195
1567200,0.5379,0.5379,-8.2191,-7.2892,0.0109,0.0000,0.2500,0.0127,0.0292,0.5915,10.00,0.200,0.850,1.100,0.0103,0.0920,0.0039,0.00122,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00146,0.00122
1567400,0.5379,0.5379,-8.2191,-7.2892,0.0073,0.0000,0.3713,0.0124,0.0233,0.6442,10.00,0.200,0.850,1.100,0.0249,0.0785,0.0034,0.00122,0.00049,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00049,0.00073
1567600,0.5379,0.5379,-8.2800,-7.2402,0.0094,0.0000,0.2101,0.0112,0.0322,0.7234,10.00,0.200,0.850,1.100,0.0223,0.0754,0.0046,0.00171,0.00049,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
1567800,0.5379,0.5379,-8.2800,-7.2402,0.0080,0.0000,0.1508,0.0122,0.0163,1.0371,10.00,0.200,0.850,1.100,0.0243,0.1251,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1568000,0.5379,0.5379,-8.2800,-7.2402,0.0116,0.0000,0.3186,0.0154,0.0112,0.8386,10.00,0.200,0.850,1.100,0.0163,0.0753,0.0051,0.00269,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00024,0.00171
